giver,er_eu_medlem,aar,maaned,verdi_eur_mrd
Austria,True,2022,5,0.010398449685683226
Belgium,True,2022,11,0.004901349207763738
Belgium,True,2023,2,0.0028931134567106234
Canada,False,2022,4,0.21814006888633758
Canada,False,2022,5,0.15147755175931166
Canada,False,2022,6,0.7396197141561132
Canada,False,2022,8,0.3924754496964651
Canada,False,2022,12,0.28224602196861737
Canada,False,2023,4,1.60197346759937
Canada,False,2024,3,1.3529920347307816
Canada,False,2024,10,0.26594896331738416
Canada,False,2025,3,1.6110175186647888
Canada,False,2025,6,1.4599643321343287
Canada,False,2026,2,0.13818144273127758
Denmark,True,2022,5,0.021742212979155837
Denmark,True,2022,12,0.028310628070469766
Estonia,True,2023,2,9.332624053905237e-05
EU Institutions,False,2022,4,1.3818618770554014
EU Institutions,False,2022,5,0.5891169951854645
EU Institutions,False,2022,6,0.04495587445516991
EU Institutions,False,2022,8,1.0901720383344862
EU Institutions,False,2022,10,2.557631044463659
EU Institutions,False,2022,11,2.2637043791428875
EU Institutions,False,2022,12,0.27083539800066525
EU Institutions,False,2023,1,3.0132788559754853
EU Institutions,False,2023,3,1.5001177741497922
EU Institutions,False,2023,4,1.504414468718817
EU Institutions,False,2023,5,1.4934437543133197
EU Institutions,False,2023,6,1.5120116405355644
EU Institutions,False,2023,7,1.5056777810792312
EU Institutions,False,2023,8,1.4996970953033821
EU Institutions,False,2023,9,1.4901051880905694
EU Institutions,False,2023,10,1.5062657073019583
EU Institutions,False,2023,11,1.5136617307522464
EU Institutions,False,2023,12,1.648162272275269
EU Institutions,False,2024,3,4.486672430602822
EU Institutions,False,2024,5,1.4853553846865293
EU Institutions,False,2024,6,1.8765684543173158
EU Institutions,False,2024,8,4.126339425759904
EU Institutions,False,2024,12,4.056781581772634
EU Institutions,False,2025,1,2.994090841242943
EU Institutions,False,2025,3,1.0
EU Institutions,False,2025,4,4.5
EU Institutions,False,2025,5,1.0
EU Institutions,False,2025,6,1.0
EU Institutions,False,2025,7,1.0
EU Institutions,False,2025,8,4.0
EU Institutions,False,2025,9,1.0
EU Institutions,False,2025,10,4.0
EU Institutions,False,2025,11,5.9
EU Institutions,False,2025,12,2.3
Finland,True,2023,2,0.019878489234818154
Finland,True,2023,6,0.013561056202484932
France,True,2022,4,0.3059506898363464
France,True,2022,6,0.0008774147184229944
France,True,2022,12,0.09916128887189977
Germany,True,2022,5,0.15219549085409084
Germany,True,2022,6,0.15427106277533045
Germany,True,2022,7,1.0305627418049468
Germany,True,2022,12,0.19926697097115106
Germany,True,2023,2,0.048063013877611964
Germany,True,2023,12,0.048610239527317314
Iceland,False,2022,5,0.0005
Iceland,False,2023,2,0.001493219848624838
Ireland,True,2023,2,0.01969183675374005
Italy,True,2022,4,0.11369164607211663
Italy,True,2022,5,-0.0028571428571428498
Italy,True,2022,6,0.0018928964757709275
Italy,True,2022,8,0.20240047391330485
Japan,False,2022,5,0.0954766743867278
Japan,False,2022,6,0.45429515418502214
Japan,False,2023,7,1.3528492255222395
Japan,False,2023,12,1.9535813243997335
Japan,False,2024,2,0.8346677606765216
Japan,False,2024,3,1.1313257666341678
Japan,False,2024,11,0.22106946553600976
Japan,False,2024,12,1.8637719193606108
Japan,False,2025,6,0.16498511412504133
Japan,False,2025,12,0.23597808713900517
Japan,False,2026,2,0.4600831363461449
Latvia,True,2022,5,0.004726568038946921
Latvia,True,2022,12,0.010388325500865691
Lithuania,True,2022,5,0.004726568038946921
Lithuania,True,2022,8,0.009873193849429503
Lithuania,True,2022,12,0.006610752591459985
Netherlands,True,2022,5,0.08035165666209766
Netherlands,True,2022,8,0.02073370708380195
Netherlands,True,2022,12,0.20021136419850244
Norway,False,2022,5,0.020796899371366452
Norway,False,2023,12,0.17426312283377907
Norway,False,2024,2,0.2705664275577096
Norway,False,2024,11,0.010087719298245623
Norway,False,2026,2,0.16914821189196502
South Korea,False,2024,11,0.09170653907496013
Spain,True,2023,2,0.04675644651006523
Spain,True,2023,7,0.04150787396488689
Spain,True,2024,2,0.002751522992112301
Sweden,True,2022,4,0.046216116289478304
Sweden,True,2022,6,-0.0009464482378854637
Switzerland,False,2023,2,0.009612602775522394
Switzerland,False,2023,12,0.018343486614082003
United Kingdom,False,2022,5,0.12100014179704117
United Kingdom,False,2022,7,0.44110836136360443
United Kingdom,False,2022,11,0.48915465093482113
United Kingdom,False,2023,2,0.4647646778844808
United Kingdom,False,2023,5,0.0009201748332183115
United Kingdom,False,2023,9,0.09359957211624174
United Kingdom,False,2023,11,0.369163221619894
United Kingdom,False,2024,3,0.4736851787126801
United Kingdom,False,2024,12,0.46093284027197906
United Kingdom,False,2025,3,0.8984197438434182
United Kingdom,False,2025,4,0.8807822564540433
United States,False,2022,5,0.9320792172803328
United States,False,2022,6,0.003785792951541855
United States,False,2022,7,2.9472719022067118
United States,False,2022,8,2.961958154828851
United States,False,2022,9,1.5145743357673613
United States,False,2022,12,3.305376295729993
United States,False,2023,1,0.9285913269570063
United States,False,2023,2,1.163778219521983
United States,False,2023,3,1.1703907665066562
United States,False,2023,5,2.3004370830457783
United States,False,2023,6,1.1070249961212193
United States,False,2023,7,1.130388724533956
United States,False,2023,8,0.04583426330389377
United States,False,2023,9,1.1699946514530222
United States,False,2023,10,1.0887527111233524
United States,False,2023,12,0.045858716535204035
United States,False,2024,8,3.5406244324467133
United States,False,2024,11,2.705342902711324
United States,False,2024,12,1.398067517595133
